n_estimators,test-mlogloss-mean,test-mlogloss-std,train-mlogloss-mean,train-mlogloss-std
0,1.0924163333333334,1.835453319722227e-05,1.0923463333333332,1.7441967269271825e-05
1,1.0863293333333333,4.1451444151286076e-05,1.0861856666666665,3.320977098510153e-05
2,1.0803466666666668,6.426161805895621e-05,1.0801296666666669,4.870546398738453e-05
3,1.0744596666666666,8.249983164966612e-05,1.0741743333333333,6.524483802483906e-05
4,1.0686769999999999,0.00010394549853975627,1.0683193333333332,8.054122477895989e-05
5,1.0629873333333333,0.00012323509601117614,1.062559,9.550916186425796e-05
6,1.057393,0.0001345907376704816,1.056894,0.00011395028155592254
7,1.0518886666666667,0.00015400721483825122,1.0513206666666666,0.0001273455491523153
8,1.0464743333333333,0.00016557039456247064,1.045839,0.0001449298680972347
9,1.0411446666666666,0.0001867446265774962,1.0404419999999999,0.0001566971601529658
10,1.0359073333333335,0.0001991085689321985,1.035134,0.00017238909478271863
11,1.0307423333333332,0.0002112981043191734,1.029907,0.00018730901384249503
12,1.0256779999999999,0.00021916204050888584,1.0247696666666668,0.00020638206209738685
13,1.020685,0.00024192147486329154,1.0197100000000001,0.0002145553541629906
14,1.0157676666666668,0.00024905465709807774,1.0147276666666665,0.00023071531278944635
15,1.0109336666666666,0.00026957909579356117,1.0098243333333334,0.00023959178245965638
16,1.0061773333333333,0.00028852999073843816,1.0050006666666667,0.0002501150846222069
17,1.0014893333333335,0.00030349775763401673,1.0002440000000001,0.00026535385180297567
18,0.996879,0.00031981348731204457,0.995568,0.00027574263362779784
19,0.9923336666666667,0.00033491723687433265,0.9909556666666667,0.00029111776921987646
20,0.9878613333333334,0.0003462949930654467,0.9864166666666666,0.0003026916289265673
21,0.9834506666666667,0.00034958769365577014,0.9819423333333334,0.00032065176680556916
22,0.9791063333333333,0.00037028757593102007,0.9775356666666667,0.00033089206027879796
23,0.9748326666666666,0.0003805446389350554,0.9731976666666666,0.0003415224085701864
24,0.970617,0.0003917218400855323,0.9689169999999999,0.0003573681575070876
25,0.966476,0.0004072517648826031,0.9647099999999998,0.0003643103072931357
26,0.9623826666666666,0.00041080598286244067,0.9605533333333334,0.00038407840634725136
27,0.9583550000000001,0.00043098105140093373,0.9564626666666666,0.0003852845989943223
28,0.9543886666666667,0.00044873625017621105,0.9524309999999999,0.0003900521332676799
29,0.9504743333333333,0.0004717600614247855,0.9484556666666667,0.00039385304648077886
30,0.946615,0.0004806772999285996,0.9445350000000001,0.0004050316860032574
31,0.942827,0.0004939156473190977,0.9406810000000001,0.0004159903845042675
32,0.9390746666666666,0.0005006990668610654,0.9368673333333334,0.00042893459744916367
33,0.935387,0.0005171949986868292,0.9331200000000001,0.0004359824155475554
34,0.9317509999999999,0.0005203043980850781,0.9294206666666667,0.00045035788238043697
35,0.9281673333333332,0.0005322012985912661,0.9257719999999999,0.0004575944346981115
36,0.9246333333333333,0.0005399644021188517,0.9221750000000001,0.0004673991869911265
37,0.9211459999999999,0.0005454838830494106,0.918628,0.000480127066514678
